sport,season,season_id,player_id,first_name,last_name,full_name,G,MIN,FGM,FGA,FG%,3PM,3PA,3P%,2PM,2PA,2P%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PTS,AU_PTS,eFG%,shootingFoulsCommitted,shootingFoulsDrawn,personalFoulsCommitted,personalFoulsDrawn,offensiveFoulsCommitted,offensiveFoulsDrawn,doubleDoubles,tripleDoubles
,2024,171,205,Natasha,Cloud,Natasha Cloud,12,449,62,143,0.434,23,53,0.434,39,90,0.433,34,41,0.829,6,56,62,113,14,13,36,181,5602,0.513986013986014,21,19,10,8,0,3,5,0
,2024,171,206,Sydney,Colson,Sydney Colson,11,265,35,73,0.479,18,35,0.514,17,38,0.447,5,5,1.0,12,17,29,67,19,7,15,93,4219,0.6027397260273972,13,2,7,2,0,1,1,0
,2024,171,207,Ty,Young,Ty Young,9,211,34,82,0.415,6,18,0.333,28,64,0.438,8,14,0.571,18,52,70,16,10,3,7,82,3246,0.45121951219512196,8,8,9,1,1,0,2,0
,2024,171,208,Laurin,Mincy,Laurin Mincy,12,154,15,47,0.319,6,24,0.25,9,23,0.391,8,11,0.727,4,10,14,8,3,1,7,44,2534,0.3829787234042553,6,4,5,2,2,0,0,0
,2024,171,210,Essence,Carson,Essence Carson,11,206,15,48,0.312,7,21,0.333,8,27,0.296,5,5,1.0,2,14,16,18,3,2,14,42,1303,0.3854166666666667,8,2,2,3,1,3,0,0
,2024,171,211,Odyssey,Sims,Odyssey Sims,11,409,82,199,0.412,19,56,0.339,63,143,0.441,68,81,0.84,15,58,73,109,22,2,38,251,5338,0.45979899497487436,11,38,4,16,2,8,6,2
,2024,171,225,Rebecca,Harris,Rebecca Harris,8,28,4,11,0.364,1,5,0.2,3,6,0.5,0,0,,1,3,4,4,0,0,3,9,2739,0.4090909090909091,1,0,1,0,0,0,0,0
,2024,171,226,Isabelle,Harrison,Isabelle Harrison,8,143,43,82,0.524,2,6,0.333,41,76,0.539,21,28,0.75,9,26,35,14,5,2,11,109,2800,0.5365853658536586,6,11,4,6,4,0,1,0
,2024,171,229,Akela,Maize,Akela Maize,8,50,5,9,0.556,0,2,0.0,5,7,0.714,2,2,1.0,2,9,11,1,1,5,2,12,2503,0.5555555555555556,4,0,6,1,1,0,0,0
,2024,171,232,Destinee,Walker,Destinee Walker,9,62,5,15,0.333,0,4,0.0,5,11,0.455,1,3,0.333,4,3,7,4,1,0,4,11,2927,0.3333333333333333,1,2,1,0,0,0,0,0
,2024,171,238,Taj,Cole,Taj Cole,11,159,23,57,0.404,7,25,0.28,16,32,0.5,16,19,0.842,3,12,15,15,4,0,17,69,2398,0.4649122807017544,12,11,5,3,0,1,0,0
,2024,171,240,Lexie,Brown,Lexie Brown,12,372,47,119,0.395,20,61,0.328,27,58,0.466,29,34,0.853,7,42,49,43,20,3,23,143,4310,0.4789915966386555,8,13,6,11,2,1,0,0
,2024,171,241,MeMe,Jackson,MeMe Jackson,8,63,5,20,0.25,3,16,0.188,2,4,0.5,1,2,0.5,0,6,6,2,2,1,3,14,2958,0.325,2,1,0,0,0,0,0,0
,2024,171,244,Kalani,Brown,Kalani Brown,12,257,61,101,0.604,0,1,0.0,61,100,0.61,39,49,0.796,22,49,71,16,6,11,22,161,4735,0.6039603960396039,13,26,2,10,4,0,1,0
,2024,171,250,Danni,McCray,Danni McCray,10,135,15,45,0.333,0,2,0.0,15,43,0.349,0,3,0.0,15,22,37,4,5,4,2,30,1770,0.3333333333333333,10,1,6,1,0,0,0,0
,2024,171,251,Air,Hearn,Air Hearn,11,374,75,135,0.556,27,61,0.443,48,74,0.649,20,22,0.909,12,48,60,38,23,9,18,197,4526,0.6555555555555556,15,9,8,7,0,2,0,0
,2024,171,257,Kelsey,Mitchell,Kelsey Mitchell,10,346,79,170,0.465,33,90,0.367,46,80,0.575,27,33,0.818,3,29,32,38,9,3,25,218,4663,0.5617647058823529,12,16,9,12,0,3,0,0
,2024,171,559,Allisha,Gray,Allisha Gray,11,415,104,222,0.468,35,81,0.432,69,141,0.489,87,102,0.853,18,49,67,60,19,7,36,330,6663,0.5472972972972973,15,55,9,11,2,2,2,0
,2024,171,562,Whitney,Knight,Whitney Knight,4,28,3,8,0.375,3,4,0.75,0,4,0.0,0,0,,2,3,5,2,2,3,1,9,1963,0.5625,3,0,2,0,0,1,0,0
,2024,171,566,Lexie,Hull,Lexie Hull,11,370,53,132,0.402,14,52,0.269,39,80,0.488,23,28,0.821,29,40,69,50,21,13,14,143,3427,0.45454545454545453,33,11,12,12,0,4,0,0
,2024,171,567,Suriya,McGuire,Suriya McGuire,9,67,5,15,0.333,1,2,0.5,4,13,0.308,2,2,1.0,3,3,6,8,3,0,1,13,2767,0.36666666666666664,8,1,0,1,0,1,0,0
,2024,171,568,Caliya,Robinson,Caliya Robinson,4,15,2,5,0.4,0,0,,2,5,0.4,0,0,,1,2,3,0,0,0,0,4,2474,0.4,2,0,0,0,0,0,0,0
,2024,171,622,Theresa,Plaisance,Theresa Plaisance,10,217,26,67,0.388,10,31,0.323,16,36,0.444,9,12,0.75,16,59,75,25,8,6,10,71,3523,0.4626865671641791,15,3,1,11,1,2,2,0
,2024,171,624,Kierstan,Bell,Kierstan Bell,12,394,90,184,0.489,35,92,0.38,55,92,0.598,26,36,0.722,8,61,69,37,14,10,20,241,5689,0.5842391304347826,13,15,12,11,2,1,1,0
,2024,171,886,Angel,McCoughtry,Angel McCoughtry,11,131,28,63,0.444,2,8,0.25,26,55,0.473,11,16,0.688,19,23,42,2,14,6,9,69,3189,0.4603174603174603,11,9,7,2,2,3,0,0
,2024,171,887,Teana,Muldrow,Teana Muldrow,12,249,39,78,0.5,15,41,0.366,24,37,0.649,9,11,0.818,13,43,56,11,9,11,14,102,3809,0.5961538461538461,15,5,13,5,5,1,1,0
,2024,171,888,Laeticia,Amihere,Laeticia Amihere,11,296,52,109,0.477,2,11,0.182,50,98,0.51,40,64,0.625,25,64,89,18,11,19,27,146,3366,0.48623853211009177,15,31,5,12,5,1,4,0
,2024,171,889,Maddy,Siegrist,Maddy Siegrist,11,370,85,165,0.515,16,36,0.444,69,129,0.535,34,39,0.872,36,58,94,16,6,10,7,220,3896,0.5636363636363636,16,20,5,10,0,3,5,0
,2024,171,890,Sequoia,Holmes,Sequoia Holmes,11,204,23,57,0.404,14,38,0.368,9,19,0.474,7,9,0.778,10,22,32,20,14,5,10,67,3684,0.5263157894736842,10,4,6,2,0,1,0,0
,2024,171,891,Te'a,Cooper,Te'a Cooper,11,181,25,72,0.347,1,13,0.077,24,59,0.407,19,22,0.864,1,10,11,16,9,1,22,70,2670,0.3541666666666667,8,10,12,5,1,7,0,0
,2024,171,892,Tiffany,Mitchell,Tiffany Mitchell,12,433,111,229,0.485,28,60,0.467,83,169,0.491,47,57,0.825,8,50,58,52,19,1,39,297,4948,0.5458515283842795,9,29,12,20,3,3,0,0
,2024,171,894,Adut,Bulgak,Adut Bulgak,11,314,43,108,0.398,13,53,0.245,30,55,0.545,14,16,0.875,25,78,103,17,12,10,20,113,3507,0.4583333333333333,18,6,13,9,7,3,5,0
,2024,171,895,Zia,Cooke,Zia Cooke,12,343,66,164,0.402,18,49,0.367,48,115,0.417,39,48,0.812,15,28,43,29,10,4,22,189,3642,0.4573170731707317,11,26,9,8,1,1,0,0
,2024,171,919,Haley,Jones,Haley Jones,12,299,51,105,0.486,1,9,0.111,50,96,0.521,12,24,0.5,26,52,78,34,7,14,31,115,3218,0.49047619047619045,20,12,5,8,5,1,1,0
,2024,171,920,Emily,Engstler,Emily Engstler,12,322,41,95,0.432,9,24,0.375,32,71,0.451,16,22,0.727,29,93,122,32,25,28,29,107,4919,0.4789473684210526,27,8,6,8,3,1,1,0
,2024,171,921,Bashaara,Graves,Bashaara Graves,9,113,9,22,0.409,0,0,,9,22,0.409,1,6,0.167,14,14,28,6,1,4,7,19,2580,0.4090909090909091,3,3,5,3,2,0,0,0
,2024,171,922,Rae,Burrell,Rae Burrell,11,258,44,98,0.449,12,34,0.353,32,64,0.5,29,32,0.906,8,23,31,12,17,7,8,129,3615,0.5102040816326531,9,15,5,8,0,0,0,0
,2024,171,923,Dorie,Harrison,Dorie Harrison,11,69,11,34,0.324,0,0,,11,34,0.324,0,0,,17,11,28,4,0,3,6,22,2369,0.3235294117647059,9,0,4,0,2,0,0,0
,2024,171,924,Ruthy,Hebard,Ruthy Hebard,9,162,32,53,0.604,0,2,0.0,32,51,0.627,11,17,0.647,15,44,59,5,8,9,12,75,3494,0.6037735849056604,9,8,1,5,1,1,2,0
,2024,171,925,Grace,Berger,Grace Berger,11,316,40,90,0.444,7,18,0.389,33,72,0.458,11,16,0.688,13,40,53,47,13,2,18,98,2452,0.48333333333333334,12,8,7,2,2,2,0,0
