sport,season,seasonId,teamId,G,periodsPlayed,goals,assists,points,shots,turnovers,causedTurnovers,groundballs,twoPointGoals,drawControls,shotsSaved,shotsOnGoal,yellowCards,redCards,shotClockViolationsCommitted,shotClockViolationsDrawn,auTotalPoints,goalie_gamesPlayed,goalie_gamesStarted,goalie_goalsAgainst,goalie_saves,goalie_shotsFaced,goalie_shotClockViolationsCommitted,goalie_shotClockViolationsDrawn,shotPct,sogPct,goalie_savePct
lacrosse,2023,105,350,3,168,17,8,25,53,34,27,40,0,16,21,38,0,0,84,84,2990,42,30,18,32,50,6,6,0.321,0.717,0.36
lacrosse,2023,105,351,3,168,26,9,37,81,36,28,47,2,33,30,56,0,0,56,28,3623,42,30,23,23,46,4,2,0.321,0.691,0.5
lacrosse,2023,105,352,3,168,23,8,34,81,36,30,45,3,35,27,50,0,0,42,112,2529,42,30,30,19,49,6,16,0.284,0.617,0.612
lacrosse,2023,105,353,3,168,30,17,49,88,40,28,39,2,35,25,55,0,0,56,14,4009,42,30,25,29,54,4,1,0.341,0.625,0.463
lacrosse,2023,105,354,3,168,26,8,36,71,34,20,31,2,31,30,56,0,0,42,56,4474,42,30,17,40,57,3,4,0.366,0.789,0.298
lacrosse,2023,105,355,3,168,26,13,39,91,28,26,46,0,31,38,64,0,0,56,70,4914,42,30,21,25,46,5,7,0.286,0.703,0.457
lacrosse,2023,105,356,3,168,16,7,24,69,31,24,44,1,22,33,49,0,0,98,70,962,42,30,26,27,53,7,5,0.232,0.71,0.491
lacrosse,2023,105,357,3,168,19,6,27,70,32,19,38,2,25,20,39,0,0,70,70,2563,42,30,23,29,52,5,5,0.271,0.557,0.442
lacrosse,2023,105,358,3,168,21,5,27,78,32,23,45,1,27,26,47,0,0,28,84,2081,42,30,26,31,57,2,6,0.269,0.603,0.456
lacrosse,2023,105,359,3,182,25,10,35,95,36,25,40,0,34,37,62,0,0,56,28,4116,42,30,20,28,48,4,2,0.263,0.653,0.417
lacrosse,2023,105,360,3,168,23,10,33,75,41,23,42,0,34,26,49,0,0,42,28,2513,42,30,30,31,61,3,2,0.307,0.653,0.492
lacrosse,2023,105,361,3,182,26,14,41,90,25,22,50,1,25,30,56,0,0,98,84,4298,42,30,19,29,48,7,6,0.289,0.622,0.396
lacrosse,2023,105,362,1,56,13,4,17,23,8,5,11,0,13,3,16,0,0,0,0,2075,14,10,7,12,19,0,0,0.565,0.696,0.368
lacrosse,2023,105,363,1,56,10,4,14,30,7,9,16,0,12,8,18,0,0,28,42,1813,14,10,7,7,14,2,3,0.333,0.6,0.5
lacrosse,2023,105,364,1,56,7,2,9,19,14,7,13,0,9,7,14,0,0,42,28,380,14,10,10,8,18,3,2,0.368,0.737,0.556
lacrosse,2023,105,365,1,56,7,1,8,25,8,7,11,0,11,12,19,0,0,0,0,122,14,10,13,3,16,0,0,0.28,0.76,0.812
