sport,season,seasonId,team_id,G,sets_played,kills,attack_errors,attack_attempts,assists,setting_errors,service_errors,service_aces,total_reception_attempts,reception_errors,digs,blocks,au_total_points,kills_per_set,attack_percentage,assists_per_set,service_aces_per_set,digs_per_set,blocks_per_set
volleyball,2023,138,383,3,81,149,42,366,141,3,8,20,204,11,144,21,4284,1.84,0.292,1.741,0.247,1.778,0.259
volleyball,2023,138,384,3,83,124,61,368,111,2,6,13,201,5,142,20,2383,1.494,0.171,1.337,0.157,1.711,0.241
volleyball,2023,138,385,3,73,123,49,354,115,2,7,18,192,7,124,18,4649,1.685,0.209,1.575,0.247,1.699,0.247
volleyball,2023,138,386,3,72,135,37,345,125,2,7,11,165,5,163,41,7801,1.875,0.284,1.736,0.153,2.264,0.569
volleyball,2023,138,387,3,69,139,38,364,130,5,9,14,198,12,165,18,4369,2.014,0.277,1.884,0.203,2.391,0.261
volleyball,2023,138,388,3,74,104,51,357,93,4,5,13,201,15,138,26,1737,1.405,0.148,1.257,0.176,1.865,0.351
volleyball,2023,138,389,3,69,148,28,352,142,2,18,18,154,8,164,15,7917,2.145,0.341,2.058,0.261,2.377,0.217
volleyball,2023,138,390,3,65,125,33,327,115,3,10,17,178,7,136,20,5477,1.923,0.281,1.769,0.262,2.092,0.308
volleyball,2023,138,391,3,66,126,44,348,116,5,3,13,186,6,155,28,4859,1.909,0.236,1.758,0.197,2.348,0.424
volleyball,2023,138,392,3,74,134,23,335,124,4,7,19,154,6,139,32,7371,1.811,0.331,1.676,0.257,1.878,0.432
volleyball,2023,138,393,3,73,123,50,349,116,2,6,13,185,5,158,12,3606,1.685,0.209,1.589,0.178,2.164,0.164
volleyball,2023,138,394,3,72,119,57,382,111,4,7,16,199,6,160,15,2749,1.653,0.162,1.542,0.222,2.222,0.208
volleyball,2023,138,395,3,72,126,40,328,120,2,9,16,191,15,143,26,4903,1.75,0.262,1.667,0.222,1.986,0.361
volleyball,2023,138,396,3,69,126,46,362,124,8,8,21,183,3,157,22,4618,1.826,0.221,1.797,0.304,2.275,0.319
volleyball,2023,138,397,3,78,140,47,362,132,2,8,22,186,8,167,17,5977,1.795,0.257,1.692,0.282,2.141,0.218
volleyball,2023,138,398,3,69,127,45,360,122,2,8,23,196,7,148,26,3802,1.841,0.228,1.768,0.333,2.145,0.377
